date,Max. company power demand,Average company power demand,Min. company power demand
2022-10-12 15:00:00,34.816,30.50933333333333,25.836
2022-10-12 15:15:00,34.556,29.855999999999998,24.568
2022-10-12 15:30:00,33.611999999999995,28.615999999999996,22.836000000000002
2022-10-12 15:45:00,32.147999999999996,27.042666666666666,20.992
2022-10-12 16:00:00,30.316,25.343999999999998,19.312
2022-10-12 16:15:00,28.164,23.51866666666667,17.76
2022-10-12 16:30:00,25.735999999999997,21.51733333333333,16.216
2022-10-12 16:45:00,23.072,19.289333333333335,14.56
2022-10-12 17:00:00,20.232,16.829333333333334,12.732
2022-10-12 17:15:00,17.388,14.304000000000002,10.844
2022-10-12 17:30:00,14.74,11.922666666666666,9.064
2022-10-12 17:45:00,12.479999999999999,9.895999999999999,7.564
2022-10-12 18:00:00,10.756,8.38,6.464
2022-10-12 18:15:00,9.46,7.292000000000001,5.696
2022-10-12 18:30:00,8.448,6.497333333333334,5.152
2022-10-12 18:45:00,7.564,5.862666666666667,4.728000000000001
2022-10-12 19:00:00,6.688,5.276,4.332
2022-10-12 19:15:00,5.848,4.737333333333333,3.964
2022-10-12 19:30:00,5.112,4.273333333333333,3.6479999999999997
2022-10-12 19:45:00,4.54,3.909333333333333,3.404
2022-10-12 20:00:00,4.176,3.658666666666667,3.248
2022-10-12 20:15:00,3.9759999999999995,3.497333333333333,3.1559999999999997
2022-10-12 20:30:00,3.868,3.3826666666666667,3.092
2022-10-12 20:45:00,3.784,3.2773333333333334,3.024
2022-10-12 21:00:00,3.6639999999999997,3.153333333333333,2.864
2022-10-12 21:15:00,3.5159999999999996,3.016,2.708
2022-10-12 21:30:00,3.36,2.8826666666666667,2.568
2022-10-12 21:45:00,3.216,2.7746666666666666,2.46
2022-10-12 22:00:00,3.092,2.708,2.412
2022-10-12 22:15:00,2.992,2.6493333333333333,2.336
2022-10-12 22:30:00,2.9080000000000004,2.614666666666667,2.3
2022-10-12 22:45:00,2.836,2.584,2.268
